id,code,title,description,price,image,source_url
17,"PROD-00017","A ESPADA SELVAGEM DE CON N.10","A ESPADA SELVAGEM DE CON N.10","Consulte","https://thumbnails.meuspedidos.com.br/_1ra98w-f2uRiLWo8FlZkLta2U4=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/2fe56c9a-a4ac-11f0-8bce-3af03c92463f.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
18,"PROD-00018","A ESPADA SELVAGEM DE CON N.18","A ESPADA SELVAGEM DE CON N.18","Consulte","https://thumbnails.meuspedidos.com.br/YzOOHim5dg5hJ3eFbeLK2xG9hvY=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/30120a52-a4ac-11f0-a72e-eecb83d78201.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
19,"PROD-00019","A ESPADA SELVAGEM DE CON N.19","A ESPADA SELVAGEM DE CON N.19","Consulte","https://thumbnails.meuspedidos.com.br/ggvDwziE02kNAJd2IeLIBrD6US8=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/302d68d8-a4ac-11f0-a599-8e83af06c4a6.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
20,"PROD-00020","A ESPADA SELVAGEM DE CON N.2","A ESPADA SELVAGEM DE CON N.2","Consulte","https://thumbnails.meuspedidos.com.br/Pt9RkGkSvLmZGNuRucd-soAxLXU=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/2fbaab18-a4ac-11f0-a72e-eecb83d78201.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
21,"PROD-00021","A ESPADA SELVAGEM DE CON N.20","A ESPADA SELVAGEM DE CON N.20","Consulte","https://thumbnails.meuspedidos.com.br/F2F_6EpEQ79UpJ5puqJOkv0-BIk=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/302f35fa-a4ac-11f0-84d7-06a1e9b2bf33.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
22,"PROD-00022","A ESPADA SELVAGEM DE CON N.22","A ESPADA SELVAGEM DE CON N.22","Consulte","https://thumbnails.meuspedidos.com.br/9CAyaOWoE8YWhmGeqzykn_h3grg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/d3cba7f8-119a-11ef-a951-1a13f4f3a32a.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
23,"PROD-00023","A ESPADA SELVAGEM DE CON N.24","A ESPADA SELVAGEM DE CON N.24","Consulte","https://thumbnails.meuspedidos.com.br/0_sE55eq-d1ujmbcJH6sIygVeR4=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/30536524-a4ac-11f0-8bce-3af03c92463f.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
24,"PROD-00024","A ESPADA SELVAGEM DE CON N.27","A ESPADA SELVAGEM DE CON N.27","Consulte","https://thumbnails.meuspedidos.com.br/4Py8sm8OYjGr_nTdXGjzkKj-MoE=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/307ddf2a-a4ac-11f0-8bce-3af03c92463f.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
25,"PROD-00025","A ESPADA SELVAGEM DE CON N.28","A ESPADA SELVAGEM DE CON N.28","Consulte","https://thumbnails.meuspedidos.com.br/d47qxJI9OmA3AAkqaK-sBm4ICF4=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/d29e6ee6-63e4-11ef-8888-36fc18488cf6.png","https://brancaleonepublicacoes.meuspedidos.com.br/"
26,"PROD-00026","A ESPADA SELVAGEM DE CON N.29","A ESPADA SELVAGEM DE CON N.29","Consulte","https://thumbnails.meuspedidos.com.br/CU--QB-C6Idq5Skc8DVQAjOTUDw=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fa0e60a4-d81a-11ee-8b82-06e22cdb7792.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
27,"PROD-00027","A ESPADA SELVAGEM DE CON N.30","A ESPADA SELVAGEM DE CON N.30","Consulte","https://thumbnails.meuspedidos.com.br/hblKYZbli5Cd7IIiAP31rSs1o_I=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fa759256-d81a-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
28,"PROD-00028","A ESPADA SELVAGEM DE CON N.31","A ESPADA SELVAGEM DE CON N.31","Consulte","https://thumbnails.meuspedidos.com.br/2vyYGeCGAQU7MLtH5ddhseh-M-4=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fa5917f2-d81a-11ee-8b82-06e22cdb7792.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
29,"PROD-00029","A ESPADA SELVAGEM DE CON N.32","A ESPADA SELVAGEM DE CON N.32","Consulte","https://thumbnails.meuspedidos.com.br/XeU5rQRDH5JiLI_oVJZCB8oNlW8=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/faf072e6-d81a-11ee-9df9-5a86bcbeb6e3.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
30,"PROD-00030","A ESPADA SELVAGEM DE CON N.7","A ESPADA SELVAGEM DE CON N.7","Consulte","https://thumbnails.meuspedidos.com.br/y1V6RymWjCHuiNFe-lX3BX4nyos=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/d0cfd590-f616-11ef-8bcd-4e33e7a5489c.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
31,"PROD-00031","A ESPADA SELVAGEM DE CON N.8","A ESPADA SELVAGEM DE CON N.8","Consulte","https://thumbnails.meuspedidos.com.br/rsp0plgoGyDbblm1FQ5CWSw_57I=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/f5908232-d81a-11ee-9df9-5a86bcbeb6e3.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
32,"PROD-00032","A ESPADA SELVAGEM DE CONAN (2024) N.01","A ESPADA SELVAGEM DE CONAN (2024) N.01","Consulte","https://thumbnails.meuspedidos.com.br/3BQK_Tabca0p7sj_eo30kr2EO1s=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/6e8088bc-eb26-11ef-b6db-ce85303a26c9.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
33,"PROD-00033","A ESPADA SELVAGEM DE CONAN (2024) N.03","A ESPADA SELVAGEM DE CONAN (2024) N.03","Consulte","https://thumbnails.meuspedidos.com.br/WR13cuB0-7y0Ze8ksNwWTnHplg0=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/c52e2976-642a-11f0-bfa0-6253877c6ac4.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
34,"PROD-00034","A ESPADA SELVAGEM DE CONAN - A COLECAO  VOL.40","A ESPADA SELVAGEM DE CONAN - A COLECAO  VOL.40","Consulte","https://thumbnails.meuspedidos.com.br/eLxvwqvtk8Ar1WZ5YgGctJq_Z84=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fda3f530-d81a-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
35,"PROD-00035","A ESPADA SELVAGEM DE CONAN - A COLECAO N.34","A ESPADA SELVAGEM DE CONAN - A COLECAO N.34","Consulte","https://thumbnails.meuspedidos.com.br/6CA1QXTvmH9hxse32hti8gn_bdY=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fb8c8fd2-d81a-11ee-9df9-5a86bcbeb6e3.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
36,"PROD-00036","A ESPADA SELVAGEM DE CONAN - A COLECAO N.35","A ESPADA SELVAGEM DE CONAN - A COLECAO N.35","Consulte","https://thumbnails.meuspedidos.com.br/JJukj1Ke1aZiZEZ7xfHiOS-fnmg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fbc25036-d81a-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
37,"PROD-00037","A ESPADA SELVAGEM DE CONAN - A COLECAO N.36","A ESPADA SELVAGEM DE CONAN - A COLECAO N.36","Consulte","https://thumbnails.meuspedidos.com.br/bmpHKMwmQLfyf3VB2HKeRl2ULvg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fc4d2e36-d81a-11ee-9df9-5a86bcbeb6e3.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
38,"PROD-00038","A ESPADA SELVAGEM DE CONAN - A COLECAO N.42","A ESPADA SELVAGEM DE CONAN - A COLECAO N.42","Consulte","https://thumbnails.meuspedidos.com.br/C36oKWUSAaju7qIaFEh72cXaAzk=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fe4f24f0-d81a-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
39,"PROD-00039","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.05 (REB)","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.05 (REB)","Consulte","https://thumbnails.meuspedidos.com.br/xmE8gX4TpxU__8NwtL_YvLXgt_A=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/3d022156-0cc9-11ef-b164-e2e03e0af6ad.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
40,"PROD-00040","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.11 (REB)","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.11 (REB)","Consulte","https://thumbnails.meuspedidos.com.br/guphC02oO3vkiC9UldYFhFyE60k=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/8bc6421a-7fa9-11ef-b0bc-6e97175de7f7.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
41,"PROD-00041","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.37","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.37","Consulte","https://thumbnails.meuspedidos.com.br/kCmrU2mOFWweFQJu4yHMHifg-6I=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fc75b158-d81a-11ee-8f71-e2e54ed5f9f7.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
42,"PROD-00042","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.38","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.38","Consulte","https://thumbnails.meuspedidos.com.br/umfIFAsiSeF9kntrU8OV0iEzZYE=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fd0511b8-d81a-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
43,"PROD-00043","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.39","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.39","Consulte","https://thumbnails.meuspedidos.com.br/4U-_dW9BwDa88dajD3GdJ0nnoI0=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fd3dc17a-d81a-11ee-8f71-e2e54ed5f9f7.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
44,"PROD-00044","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.43","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.43","Consulte","https://thumbnails.meuspedidos.com.br/Xl3zPJ7VDCsKIAWIvKxJCq8p0t8=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/fe72c0c2-d81a-11ee-9df9-5a86bcbeb6e3.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
45,"PROD-00045","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.44","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.44","Consulte","https://thumbnails.meuspedidos.com.br/1Io0nv9-oA5rEwlKoNBj3GHmI-U=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/ff0bc4b6-d81a-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
46,"PROD-00046","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.53","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.53","Consulte","https://thumbnails.meuspedidos.com.br/WWibaRN2WC4ntWwbkPqn8DQe8iY=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/02081228-d81b-11ee-8b82-06e22cdb7792.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
47,"PROD-00047","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.54","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.54","Consulte","https://thumbnails.meuspedidos.com.br/BJiZyXJNdJr2LYdPcqUrhuxm5rg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/02733a30-d81b-11ee-98f1-c6f956d4b586.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
48,"PROD-00048","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.55","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.55","Consulte","https://thumbnails.meuspedidos.com.br/dTCluhetEfYxIM0EknTjMZSJlkA=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/30a40006-a4ac-11f0-8bce-3af03c92463f.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
49,"PROD-00049","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.58","A ESPADA SELVAGEM DE CONAN - A COLECAO VOL.58","Consulte","https://thumbnails.meuspedidos.com.br/crliYH0mqKCD6kNfs75VXSKs27I=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/a41e3ecc-a7c0-11f0-8792-0ab376ee0ef4.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
50,"PROD-00050","A ESSENCIA DO MEDO (MARVEL ESSENCIAIS)","A ESSENCIA DO MEDO (MARVEL ESSENCIAIS)","Consulte","https://thumbnails.meuspedidos.com.br/xfhQJE-t7nNlRYOTgLvJiN0zQgg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/99347cda-d817-11ee-b124-5a86bcbeb6e3.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
51,"PROD-00051","A GANCHO N.2","A GANCHO N.2","Consulte","https://thumbnails.meuspedidos.com.br/zVZPP92SAs6N2Te0caOhIB1fry0=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/1a2bec7c-3350-11ef-8e13-6206394e6409.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
52,"PROD-00052","A GANCHO VOL. 01","A GANCHO VOL. 01","Consulte","https://thumbnails.meuspedidos.com.br/-3ct2rybCtfFsL09kNWy8_Mlg_Q=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/62916968-da9c-11ee-b415-da2490dbf0ff.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
53,"PROD-00053","A ILHA DO TERROR (BD DISNEY)","A ILHA DO TERROR (BD DISNEY)","Consulte","https://thumbnails.meuspedidos.com.br/xYnFOlwRvHNQDNNab75ijcejzck=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/03beeea0-1ca6-11ef-b80c-228c440649c1.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
54,"PROD-00054","A INCONTROLAVEL PATRULHA DO DESTINO","A INCONTROLAVEL PATRULHA DO DESTINO","Consulte","https://thumbnails.meuspedidos.com.br/6SehYK0pJRuinQVQN5izczbXqoA=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/8ef1f43e-3692-11f0-a9ef-e679d989cbbb.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
55,"PROD-00055","A JORNADA DO SUPER-HEROI","A JORNADA DO SUPER-HEROI","Consulte","https://thumbnails.meuspedidos.com.br/f-hGo6lb7FjbMw1pZXkzs_ZMXCM=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/6eec8b2a-eb26-11ef-888a-2a856f41baa0.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
56,"PROD-00056","A JOVEM DIANA VOL.02","A JOVEM DIANA VOL.02","Consulte","https://thumbnails.meuspedidos.com.br/c5LwHirUGmCyjCjziSVDFcOo1z8=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/6ebb0b2c-eb26-11ef-a139-0af602f41cb0.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
57,"PROD-00057","A JOVEM DIANA VOL.1","A JOVEM DIANA VOL.1","Consulte","https://thumbnails.meuspedidos.com.br/nsEA0wut6FYiad3OxD1HJL99ZQ8=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/7cc4462a-4e7d-11ef-8b01-66fb588c5617.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
58,"PROD-00058","A JUVENTUDE DE MICKEY (BD DISNEY)","A JUVENTUDE DE MICKEY (BD DISNEY)","Consulte","https://thumbnails.meuspedidos.com.br/Rk-z7ZeUMAK9HJYwKqu7O4VFdlg=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/40f8c176-7fd1-11f0-a5af-de5e70a27ff7.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
59,"PROD-00059","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 1","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 1","Consulte","https://thumbnails.meuspedidos.com.br/OcJg7OAztUfQf5j88iJLvIunGgY=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/c51c23d0-63e4-11ef-9cd1-4e5286e17d7d.png","https://brancaleonepublicacoes.meuspedidos.com.br/"
60,"PROD-00060","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 2","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 2","Consulte","https://thumbnails.meuspedidos.com.br/LmD0IacHfTXeVmkHY5gncuk1eac=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/6e7beab4-eb26-11ef-b309-de9e9a61a672.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
61,"PROD-00061","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 3","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 3","Consulte","https://thumbnails.meuspedidos.com.br/NmShqIJNj8cdrxuu6zsWNmw6fmA=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/ae6fca5e-ee29-11ef-97c0-4eddcfde9ad5.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
62,"PROD-00062","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 4","A LANÇA LENDARIA E O ESCUDO IMPENETRAVEL - 4","Consulte","https://thumbnails.meuspedidos.com.br/ep8YqTR-ZHKCZGHTt7LrkqVy_-g=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/8e93d7fa-3692-11f0-b6e7-d6897a03fa64.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
63,"PROD-00063","A LENDA DE LADY BYEOKSA","A LENDA DE LADY BYEOKSA","Consulte","https://thumbnails.meuspedidos.com.br/-_GqgAiqK1K1-KndCWo6QtSczj0=/fit-in/400x256/https://arquivos.mercos.com/media/imagem_produto/372791/6105eece-5ea9-11f0-a034-4eae30e658d1.jpg","https://brancaleonepublicacoes.meuspedidos.com.br/"
